50 30  
5 5 

DR d1 d1 d2 d2 d1 d2 d1 d2 d1 d1 d1 DL c  DR d1 d1 d2 d2 d2 d2 d2 d1 d2 d2 d1 d2 d1 d1 d2 d1 d1 d2 d1 d2 d1 d2 d1 d2 d2 d1 d1 d1 d1 d1 d2 d1 d2 d1 DL  
r  0  0  0  0  0  0  0  0  0  0  0  l  c  r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  l  c  r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  dl d2 dr 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  ul u1 u2 u1 ur 0  0  0  0  0  0  0  0  0  0  ul u2 u1 u2 ur 0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l  c  c  c  r  0  0  0  0  0  0  0  0  0  0  l  c  c  c  r  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l  c  c  c  r  0  0  0  0  0  0  0  0  0  0  l  2  2  2  r  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  dl d2 d1 d2 dr 0  0  0  0  0  0  0  0  0  0  dl d1 d2 d1 dr 0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  ul u1 ur 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
UR u1 u2 u1 u1 u1 u2 u2 u2 u1 u2 u2 UL c  UR u1 u1 u2 u1 u2 u1 u2 u1 u2 u1 u2 u1 u1 u2 u1 u1 ur 0  0  0  0  0  0  0  0  0  ul u1 u2 u1 u1 u2 u2 u1 UL
DR d1 d2 d2 d2 d1 d2 d2 d2 d1 d2 d2 d2 d2 d1 d2 d1 d2 d2 d2 d1 d2 d1 d2 d1 d2 d2 d1 d2 d1 d2 dr 0  0  0  0  0  0  0  0  0  dl d1 d2 d2 d2 d2 d2 d2 DL
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
UR u1 u2 u1 u2 u1 u2 ur 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
DR d1 d2 d2 d2 d1 d2 dr 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  ul u1 u2 u1 u2 u2 u2 u2 u1 u1 u1 u2 u1 u2 u1 u1 u2 u2 u2 u1 u1 u2 u1 UL
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  dl d1 d2 d2 d2 d2 d1 d1 d2 d2 d2 d2 d2 d1 d2 d1 d2 d2 d2 d2 d2 d2 d1 DL
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  ul ur 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l  r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l  r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l  r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l  r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l  r  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  l
UR u1 u2 u1 u2 u2 u1 u1 u2 u1 u2 u1 u2 u2 u1 u1 u2 UL UR u1 u2 u1 u2 u2 u1 u1 u2 u1 u2 u1 u2 u2 u1 u1 u2 u1 u2 u1 u2 u1 u2 u2 u1 u1 u2 u1 u2 u1 u2 UL
c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c  c
